@relation contraceptive
@attribute Wife_age integer[16,49]
@attribute Wife_education integer[1,4]
@attribute Husband_education integer[1,4]
@attribute Children integer[0,16]
@attribute Wife_religion integer[0,1]
@attribute Wife_working integer[0,1]
@attribute Husband_occupation integer[1,4]
@attribute Standard-of-living integer[1,4]
@attribute Media_exposure integer[0,1]
@attribute Contraceptive_method {1,2,3}
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure 
@output Contraceptive_method
@data
43, 2, 3, 7, 1, 1, 3, 4, 0, 1
36, 3, 3, 8, 1, 1, 3, 2, 0, 1
27, 2, 3, 3, 1, 1, 3, 4, 0, 1
38, 3, 4, 2, 1, 1, 2, 3, 0, 1
25, 3, 3, 4, 1, 1, 3, 2, 0, 1
25, 1, 4, 1, 1, 1, 2, 1, 0, 1
32, 4, 4, 2, 1, 1, 2, 3, 0, 1
43, 4, 4, 5, 1, 0, 1, 4, 0, 1
42, 3, 3, 10, 1, 1, 3, 3, 0, 1
24, 2, 4, 1, 1, 0, 4, 4, 0, 1
25, 2, 3, 0, 1, 1, 2, 1, 0, 1
28, 4, 4, 5, 1, 1, 2, 1, 0, 1
40, 3, 3, 3, 1, 1, 3, 2, 0, 1
48, 3, 4, 3, 1, 1, 3, 1, 0, 1
26, 3, 3, 3, 1, 0, 2, 4, 0, 1
24, 4, 4, 2, 1, 1, 3, 3, 0, 1
21, 3, 3, 2, 1, 1, 2, 2, 0, 1
49, 3, 4, 5, 1, 1, 1, 4, 0, 1
28, 4, 4, 0, 0, 1, 1, 3, 0, 1
33, 2, 3, 1, 1, 1, 3, 4, 0, 1
20, 2, 4, 0, 1, 1, 3, 2, 0, 1
42, 3, 2, 1, 1, 1, 3, 3, 0, 1
34, 3, 2, 8, 1, 0, 2, 3, 1, 1
48, 1, 3, 4, 1, 1, 3, 4, 1, 1
37, 2, 3, 5, 1, 0, 3, 2, 0, 1
22, 4, 4, 2, 1, 1, 1, 3, 0, 1
25, 3, 3, 1, 1, 1, 3, 2, 0, 1
39, 3, 3, 1, 0, 1, 3, 4, 0, 1
