@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
1, 3, 9, 7, 91, 276.3, 825.1, 7.1, 21.9, 43, 4, 0, 70.76
7, 4, 3, 1, 90.1, 39.7, 86.6, 6.2, 16.1, 29, 3.1, 0, 1.75
4, 5, 9, 6, 92.5, 88, 698.6, 7.1, 20.3, 45, 3.1, 0, 0
8, 6, 3, 7, 89.3, 51.3, 102.2, 9.6, 11.5, 39, 5.8, 0, 7.19
6, 3, 9, 4, 92.8, 119, 783.5, 7.5, 18.9, 34, 7.2, 0, 34.36
4, 3, 8, 7, 81.6, 56.7, 665.6, 1.9, 27.8, 32, 2.7, 0, 6.44
4, 4, 8, 6, 90.2, 96.9, 624.2, 8.9, 18.4, 42, 6.7, 0, 0
7, 4, 10, 5, 90, 41.5, 682.6, 8.7, 11.3, 60, 5.4, 0, 0
6, 5, 4, 4, 81.5, 9.1, 55.2, 2.7, 5.8, 54, 5.8, 0, 4.61
2, 4, 9, 6, 93.4, 145.4, 721.4, 8.1, 28.6, 27, 2.2, 0, 1.61
6, 5, 9, 1, 90.9, 126.5, 686.5, 7, 21.3, 42, 2.2, 0, 0
4, 4, 3, 6, 91.7, 35.8, 80.8, 7.8, 17, 27, 4.9, 0, 28.66
3, 4, 8, 3, 93.1, 157.3, 666.7, 13.5, 21.7, 40, 0.4, 0, 2.47
3, 4, 3, 5, 91.7, 33.3, 77.5, 9, 18.8, 18, 4.5, 0, 0
6, 3, 4, 7, 91, 14.6, 25.6, 12.3, 13.7, 33, 9.4, 0, 61.13
6, 3, 9, 2, 90.3, 80.7, 730.2, 6.3, 18.2, 62, 4.5, 0, 0
8, 6, 8, 7, 90.2, 99.6, 631.2, 6.3, 16.2, 59, 3.1, 0, 32.07
7, 4, 8, 6, 90.2, 110.9, 537.4, 6.2, 19.5, 43, 5.8, 0, 0
2, 5, 8, 3, 95.5, 99.9, 513.3, 13.2, 23.8, 32, 5.4, 0, 0.77
4, 4, 9, 3, 92.6, 115.4, 777.1, 8.8, 19.7, 41, 1.8, 0, 1.58
6, 3, 9, 5, 94.3, 85.1, 692.3, 15.9, 25.4, 24, 3.6, 0, 0
4, 4, 3, 5, 85.9, 19.5, 57.3, 2.8, 13.7, 43, 5.8, 0, 0
6, 5, 9, 6, 92.2, 102.3, 751.5, 8.4, 21.2, 32, 2.2, 0, 0
8, 6, 8, 7, 94.9, 130.3, 587.1, 14.1, 31, 27, 5.4, 0, 0
2, 2, 8, 2, 92.1, 152.6, 658.2, 14.3, 21.8, 56, 3.1, 0, 0.52
7, 4, 9, 6, 91.2, 124.4, 795.3, 8.5, 21.5, 28, 4.5, 0, 15.64
7, 4, 7, 1, 89.2, 103.9, 431.6, 6.4, 22.6, 57, 4.9, 0, 278.53
6, 5, 6, 1, 90.4, 93.3, 298.1, 7.5, 19.1, 39, 5.4, 0, 3.52
1, 2, 9, 4, 92.9, 137, 706.4, 9.2, 21.5, 15, 0.9, 0, 0
6, 3, 9, 7, 93.5, 149.3, 728.6, 8.1, 22.8, 39, 3.6, 0, 0
8, 6, 8, 2, 96.1, 181.1, 671.2, 14.3, 21.6, 65, 4.9, 0.8, 0
4, 6, 9, 4, 93.7, 80.9, 685.2, 17.9, 17.6, 42, 3.1, 0, 0
8, 3, 9, 4, 93.7, 80.9, 685.2, 17.9, 23.2, 26, 4.9, 0, 23.41
2, 5, 6, 4, 93.7, 121.7, 350.2, 18, 22.7, 40, 9.4, 0, 3.19
4, 3, 9, 7, 90.5, 96.7, 750.5, 11.4, 20.4, 55, 4.9, 0, 3.64
7, 4, 10, 2, 90.6, 35.4, 669.1, 6.7, 18, 33, 0.9, 0, 0
9, 9, 7, 2, 85.8, 48.3, 313.4, 3.9, 18, 42, 2.7, 0, 0.36
3, 4, 8, 7, 91.8, 175.1, 700.7, 13.8, 26.8, 38, 6.3, 0, 0.76
6, 5, 9, 5, 90.3, 290, 855.3, 7.4, 10.3, 78, 4, 0, 18.3
6, 5, 9, 5, 92.5, 122, 789.7, 10.2, 18.4, 42, 2.2, 0, 1.09
1, 4, 9, 7, 91, 276.3, 825.1, 7.1, 14.5, 76, 7.6, 0, 3.71
6, 4, 3, 3, 89.2, 27.9, 70.8, 6.3, 15.9, 35, 4, 0, 0
2, 2, 8, 7, 90.2, 99.6, 631.2, 6.3, 20.8, 33, 2.7, 0, 0
7, 5, 4, 7, 81.9, 3, 7.9, 3.5, 13.4, 75, 1.8, 0, 0
2, 4, 8, 5, 91.6, 112.4, 573, 8.9, 21.4, 42, 3.1, 0, 4.25
3, 4, 9, 2, 84.4, 73.4, 671.9, 3.2, 17.9, 45, 3.1, 0, 0
2, 5, 7, 7, 93.9, 169.7, 411.8, 12.3, 23.4, 40, 6.3, 0, 0
8, 6, 8, 6, 93.7, 231.1, 715.1, 8.4, 18.9, 64, 4.9, 0, 0
7, 4, 9, 5, 88.2, 55.2, 732.3, 11.6, 15.2, 64, 3.1, 0, 0.52
6, 5, 2, 2, 75.1, 4.4, 16.2, 1.9, 4.6, 82, 6.3, 0, 5.39
8, 6, 8, 6, 93.7, 231.1, 715.1, 8.4, 18.9, 64, 4.9, 0, 3.32
6, 5, 2, 1, 84.1, 4.6, 46.7, 2.2, 5.3, 68, 1.8, 0, 0
1, 4, 8, 5, 90.5, 196.8, 649.9, 16.3, 11.8, 88, 4.9, 0, 9.71
1, 3, 8, 6, 92.1, 178, 605.3, 9.6, 23.3, 40, 4, 0, 6.36
7, 5, 9, 6, 92.8, 73.2, 713, 22.6, 19.3, 38, 4, 0, 0
5, 4, 8, 2, 95.1, 141.3, 605.8, 17.7, 24.1, 43, 6.3, 0, 2
9, 9, 8, 5, 94.8, 227, 706.7, 12, 25, 36, 4, 0, 0
9, 4, 7, 6, 91.6, 104.2, 474.9, 9, 25.3, 39, 0.9, 0, 8
6, 5, 8, 3, 93.1, 157.3, 666.7, 13.5, 22.1, 37, 3.6, 0, 0.21
7, 4, 8, 4, 91.9, 109.2, 565.5, 8, 21.4, 38, 2.7, 0, 1.52
2, 2, 8, 1, 91.1, 103.2, 638.8, 5.8, 23.1, 31, 3.1, 0, 0
9, 9, 7, 4, 93.2, 114.4, 560, 9.5, 30.2, 25, 4.5, 0, 2.75
8, 6, 8, 5, 93.9, 135.7, 586.7, 15.1, 20.8, 34, 4.9, 0, 6.96
8, 6, 7, 2, 92.3, 88.8, 440.9, 8.5, 17.1, 67, 3.6, 0, 6.57
5, 4, 9, 5, 94.3, 85.1, 692.3, 15.9, 20.1, 47, 4.9, 0, 1.46
8, 3, 9, 2, 84.4, 73.4, 671.9, 3.2, 24.2, 28, 3.6, 0, 0.96
6, 5, 3, 1, 90.1, 39.7, 86.6, 6.2, 15.2, 27, 3.1, 0, 31.86
2, 4, 9, 1, 63.5, 70.8, 665.3, 0.8, 22.6, 38, 3.6, 0, 11.32
3, 4, 3, 6, 91.7, 35.8, 80.8, 7.8, 15.2, 27, 4.9, 0, 0
7, 4, 9, 7, 89.6, 84.1, 714.3, 5.7, 17.1, 53, 5.4, 0, 0.41
3, 4, 9, 7, 90.5, 96.7, 750.5, 11.4, 20.6, 55, 5.4, 0, 24.59
6, 5, 6, 6, 53.4, 71, 233.8, 0.4, 10.6, 90, 2.7, 0, 0
3, 4, 9, 5, 93.3, 141.2, 713.9, 13.9, 18.6, 49, 3.6, 0, 35.88
3, 4, 9, 1, 91.8, 78.5, 724.3, 9.2, 18.9, 35, 2.7, 0, 0
2, 2, 8, 2, 94.8, 108.3, 647.1, 17, 17.4, 43, 6.7, 0, 1.07
2, 4, 8, 1, 92.1, 207, 672.6, 8.2, 27.9, 33, 2.2, 0, 2.35
7, 4, 9, 3, 89.7, 284.9, 844, 10.1, 10.5, 77, 4, 0, 0
3, 6, 6, 5, 91.1, 94.1, 232.1, 7.1, 19.2, 38, 4.5, 0, 0
7, 4, 8, 6, 93.5, 139.4, 594.2, 20.3, 5.1, 96, 5.8, 0, 26
1, 2, 8, 7, 90.2, 99.6, 631.2, 6.3, 17.9, 44, 2.2, 0, 0
4, 6, 9, 7, 93.5, 149.3, 728.6, 8.1, 28.3, 26, 3.1, 0, 64.1
4, 3, 8, 3, 94.5, 139.4, 689.1, 20, 28.9, 29, 4.9, 0, 49.59
4, 5, 9, 5, 94.3, 85.1, 692.3, 15.9, 17.7, 37, 3.6, 0, 0
4, 4, 4, 5, 83, 23.3, 85.3, 2.3, 16.7, 20, 3.1, 0, 0
8, 6, 10, 1, 84.9, 32.8, 664.2, 3, 19.1, 32, 4, 0, 5.44
2, 5, 8, 4, 95.2, 131.7, 578.8, 10.4, 24.2, 28, 2.7, 0, 8.68
8, 6, 9, 1, 91.5, 130.1, 807.1, 7.5, 15.9, 51, 4.5, 0, 2.18
1, 2, 8, 2, 94.8, 108.3, 647.1, 17, 18.6, 51, 4.5, 0, 0
5, 4, 9, 5, 92.1, 99, 745.3, 9.6, 10.1, 75, 3.6, 0, 3.71
7, 4, 9, 7, 92.4, 105.8, 758.1, 9.9, 25.3, 27, 2.7, 0, 0
8, 6, 8, 4, 90.7, 194.1, 643, 6.8, 16.2, 63, 2.7, 0, 16.33
6, 5, 8, 3, 96, 127.1, 570.5, 16.5, 23.4, 33, 4.5, 0, 2.51
6, 5, 8, 5, 91, 166.9, 752.6, 7.1, 18.2, 62, 5.4, 0, 0.43
