ST04Q01,ST15Q01,ST19Q01,misced,fisced,CLCUSE1,ESCS,FAMSTRUC,BELONG,STUDREL,ATTLNACT,ATSCHL,ANXMAT,FAILMAT,INSTMOT,INTMAT,SMATBEH,MATHEFF,MATINTFC,MATWKETH,SCMAT,SUBNORM,PV1MATH
2,1,1,3,3,2,0.06,2,1.1,-1.04,-0.3397,2.35,0.32,0.9139,-0.67,0.0,-1.0226,1.07,1.4565,0.2882,-0.29,0.3026,1
1,2,1,3,6,4,-0.23,2,-0.15,-0.02,0.0873,0.24,0.56,-0.076,-0.39,0.3,-1.0226,0.15,0.6584,0.2882,0.41,0.3026,1
2,2,2,4,5,3,0.0,1,-0.56,-0.48,0.0873,-0.24,0.32,-0.3017,0.05,0.91,-0.4567,0.54,-0.2514,0.649,0.65,1.7943,1
2,1,1,6,6,1,0.69,1,-0.56,-1.26,0.5206,-0.95,0.56,0.3889,1.11,-1.27,-2.1402,0.34,1.4565,-0.2356,0.41,-0.3852,1
1,4,1,6,6,2,1.15,2,-0.37,-0.02,1.2115,0.77,0.56,1.2219,-0.39,0.0,-0.4567,2.27,-1.3074,-0.8805,-0.29,0.6602,1
1,1,1,4,5,2,0.31,2,0.82,1.13,1.2115,2.35,-0.47,-0.53,1.11,1.51,1.0998,0.54,-0.7332,2.0389,1.12,-0.3852,1
2,1,1,6,5,3,0.65,1,1.42,-0.48,1.2115,-0.64,-0.47,-0.53,-0.39,-0.34,-1.0226,2.27,-0.2514,-0.4017,0.18,-0.7176,1
1,1,1,5,3,5,0.85,2,-0.15,-0.02,1.2115,0.77,-0.47,0.3889,-0.39,-0.34,-0.4567,-0.18,-0.2514,0.649,0.18,0.6602,1
2,2,1,5,5,2,0.82,2,1.84,2.16,0.0873,2.35,0.06,-0.076,0.5,1.51,1.2288,2.27,0.6584,2.0389,1.12,0.6602,1
2,4,1,5,6,4,1.68,2,0.08,-0.02,0.0873,1.38,0.06,-0.076,-0.39,0.91,-0.4567,0.54,-0.2514,0.649,0.65,-0.3852,1
2,2,1,4,5,3,0.78,2,-0.56,1.13,0.5206,0.77,1.26,0.64,0.05,0.0,0.6426,0.15,-0.2514,-0.2356,-0.52,-0.0455,1
2,2,1,5,6,4,0.92,2,-0.9,-0.79,-0.3397,-0.95,0.56,0.64,0.05,0.3,-0.4567,-0.02,1.4565,-0.2356,0.12,-0.3852,1
2,2,1,2,4,2,0.22,2,0.82,-0.02,1.2115,1.38,0.32,0.1524,-0.9,-1.27,-1.0226,0.34,-0.7332,-0.2356,-1.01,-0.3852,1
1,1,1,2,5,4,1.02,2,-0.15,-0.02,0.0873,0.24,0.79,0.3889,0.05,0.58,-1.0226,0.54,-0.2514,0.2882,0.65,1.0265,1
2,1,1,5,4,2,-0.12,2,-0.74,-1.47,0.0873,-0.24,-0.2,-0.076,-1.56,0.3,-1.0226,0.15,-0.2514,-1.4948,0.65,-1.6717,1
2,2,1,5,5,3,0.16,2,-0.74,-1.04,0.0873,0.24,-0.47,0.1524,0.5,1.28,0.2171,1.47,-0.2514,0.2882,0.59,-0.0455,1
1,1,1,5,6,3,0.47,2,1.42,2.16,1.2115,0.77,-0.73,-0.53,1.59,1.51,-0.0721,1.07,0.6584,2.7167,1.38,1.0265,1
1,1,1,4,4,2,-0.25,2,0.08,0.45,-0.3397,-0.24,0.32,0.3889,-2.3,0.58,-0.0721,1.47,0.1775,-0.7235,-1.18,-0.7176,1
1,1,1,6,2,2,1.02,2,-0.15,0.45,-1.9158,1.38,-0.2,0.3889,-1.12,0.0,0.2171,0.54,-0.7332,0.1099,0.41,-1.6717,1
1,1,1,5,5,2,0.47,2,0.32,-0.02,0.5206,-0.24,0.32,0.1524,0.05,0.58,-0.0721,-0.18,1.4565,0.1099,-0.06,0.6602,1
