ID,ST04Q01,ST15Q01,ST19Q01,misced,fisced,CLCUSE1,ESCS,FAMSTRUC,BELONG,STUDREL,ATTLNACT,ATSCHL,ANXMAT,FAILMAT,INSTMOT,INTMAT,SMATBEH,MATHEFF,MATINTFC,MATWKETH,SCMAT,SUBNORM
1,2,1,2,6,4,3,0.38,1,-0.15,-0.79,-1.7015,-0.95,0.32,-0.076,-2.3,-1.78,0.2171,-0.33,-1.5329,-2.7818,-1.61,-1.3599
2,2,2,4,6,6,3,0.97,2,2.63,2.16,1.2115,2.35,-2.37,-0.767,1.59,1.51,0.6426,2.27,1.4565,1.0166,2.26,1.4014
3,1,4,3,1,0,3,-2.18,2,-0.56,0.81,1.2115,-0.24,-0.73,-1.6239,1.11,1.51,0.4486,-0.48,-0.2514,-0.0651,0.41,-0.0455
4,2,1,1,6,6,3,1.17,2,-0.15,-0.02,0.5206,0.77,0.06,1.2219,0.05,0.3,-0.4567,1.07,-0.2514,0.4684,0.65,1.7943
5,2,1,1,6,1,1,1.19,2,0.82,0.81,1.2115,2.35,-0.47,-2.5995,1.59,0.91,0.4486,2.27,0.6584,1.4298,1.38,-0.0455
6,2,2,1,4,4,3,0.42,2,1.84,2.16,1.2115,2.35,-1.3,-3.7666,1.59,1.51,1.3516,2.27,0.1775,2.7167,1.7,1.7943
7,2,1,4,6,4,2,0.77,2,-1.53,-1.47,0.5206,-0.64,0.56,-0.076,0.05,-0.34,-0.4567,-0.18,0.1775,-0.4017,-0.06,0.6602
8,2,1,1,6,6,3,1.24,2,-1.18,-0.79,1.2115,-0.64,0.32,0.64,1.11,0.91,0.9618,-0.48,0.1775,-0.0651,-0.06,-0.0455
9,1,2,1,4,6,3,0.65,2,-0.74,1.51,-0.9394,-0.64,0.56,0.9139,-0.39,-0.66,-0.0721,-0.48,-0.7332,-0.7235,-0.76,-0.3852
10,2,4,1,5,5,1,-0.27,1,-0.56,-0.79,1.2115,0.77,0.32,0.1524,1.11,-0.34,-0.4567,0.78,1.4565,0.8307,-0.52,0.3026
11,2,2,1,4,4,4,-0.01,2,-0.37,0.81,-0.3397,0.77,-0.2,-0.767,1.59,0.91,-2.1402,-0.18,1.4565,0.1099,0.41,0.3026
12,2,2,1,6,6,3,0.87,2,1.42,0.45,0.5206,-0.24,0.56,0.9139,-0.9,-0.95,0.811,0.78,-1.5329,0.2882,-0.52,-0.7176
13,1,4,1,2,4,2,0.39,2,0.82,-0.48,1.2115,0.24,-0.47,0.64,1.59,0,0.9618,2.27,0.1775,-0.2356,0.65,-0.0455
14,2,4,1,6,6,3,1.05,2,-0.37,1.13,0.5206,-0.24,-0.47,-1.0202,0.05,0.58,-0.0721,0.54,0.1775,0.4684,0.41,0.3026
15,1,1,1,2,4,3,0.48,2,-0.37,0.45,1.2115,-0.95,0.79,0.64,-0.39,0,-2.1402,-0.18,-1.5329,0.1099,0.41,0.6602
16,1,4,2,2,5,3,0.05,2,-0.37,-0.48,-0.9394,-0.64,0.06,-0.076,0.5,1.23,0.6426,-0.92,1.3469,-0.0651,0.18,0.6602
17,2,1,1,6,2,1,0.87,2,-1.42,-1.68,1.2115,-0.64,0.56,0.64,0.05,-0.66,-1.0226,-1.21,-1.5329,-1.1886,-0.29,-0.7176
18,2,4,1,4,4,2,0.37,2,0.82,0.81,0.5206,0.24,1.02,-0.3017,0.5,1.23,0.2171,-0.02,1.4565,-0.0651,1.38,-0.0455
19,2,1,1,5,6,1,0.68,2,-1.3,1.13,1.2115,2.35,0.32,0.1524,0.05,-1.78,-0.4567,0.78,-1.2506,0.2882,-1.28,-0.3852
20,2,4,1,4,2,2,-1.1,2,-0.37,-0.02,-0.3397,1.38,0.06,-0.3017,0.05,-0.34,-0.4567,-0.63,-0.7332,0.1099,-0.52,-0.0455
21,2,1,1,6,2,3,0.76,1,0.56,1.13,-0.9394,2.35,0.06,1.5828,-0.39,0.3,-2.1402,-0.33,1.4565,-1.3412,-0.78,-0.3852
22,1,4,1,2,4,2,-0.84,2,-0.37,-0.48,1.2115,-0.24,0.56,0.3889,1.11,1.23,0.2171,0.34,1.4565,0.2882,0.65,1.0265
23,1,1,4,6,6,2,0.57,2,-0.37,1.51,1.2115,-0.24,0.06,-0.3017,0.05,-0.66,0.2171,1.47,-1.5329,-0.2356,-0.06,0.6602
24,2,1,1,4,6,4,0.75,2,-0.37,-0.02,0.0873,-0.24,0.56,-1.0202,0.05,-0.34,0.6426,-1.06,0.6584,0.2882,-0.06,-0.0455
25,1,3,1,2,2,1,-0.8,2,-0.9,1.51,-0.3397,0.24,0.56,1.2219,-0.39,-0.34,-0.4567,-1.06,0.1775,-0.0651,-1.01,-0.3852
